locus	log2FoldChange	padj	symbol	description
AT1G01410	-3.47477481499247	0.333769086457802	PUM22	pumilio 22
AT1G01420	0.642584984602631	0.00701801302313081	UGT72B3	UDP-glucosyl transferase 72B3
AT1G01430	0.196056768169597	0.373931095199017	TBL25	TRICHOME BIREFRINGENCE-LIKE 25
AT1G01440	0.203671765801858	0.376071135634118		hypothetical protein (DUF3133)
AT1G01448	0.176579244841191	0.329193781043873		Natural antisense transcript overlaps with AT1G01450
AT1G01450				Protein kinase superfamily protein
AT1G01453	-1.16311152586456	0.548751583135999		late embryogenesis abundant hydroxyproline-rich glycoprotein family protein
AT1G01460	-3.46323134748935	0.277704938554531	PIPK11	Phosphatidylinositol-4-phosphate 5-kinase%2C core
AT1G01470	-0.826430204647148	0.00174324636388308	LEA14	Late embryogenesis abundant protein
AT1G01480	-0.239388044208819	0.71481189570415	ACS2	1-amino-cyclopropane-1-carboxylate synthase 2
AT1G01490	0.704639626640199	0.000727519430272332		Heavy metal transport/detoxification superfamily protein
AT1G01500	0.294432438163099	0.0751078374588553		Erythronate-4-phosphate dehydrogenase family protein
AT1G01510	-0.338806247586047	0.0233096322393144	AN	NAD(P)-binding Rossmann-fold superfamily protein
AT1G01520	-0.240606665246842	0.856112050197196	ASG4	Homeodomain-like superfamily protein
AT1G01530	-0.763857127446195	0.963265945323509	AGL28	AGAMOUS-like 28
AT1G01540	-0.0494227061529544	0.945968559372439		Protein kinase superfamily protein
AT1G01550	-0.285391075150028	0.00817999507165782	BPS1	BPS1-like protein (DUF793)
AT1G01560	-3.35774792449448	3.42483300733577e-22	MPK11	MAP kinase 11
AT1G01570	-0.121785398372922	0.846525317587887		transferring glycosyl group transferase (DUF604)
AT1G01580	-0.106406051547288	0.979102485363858	FRO2	ferric reduction oxidase 2
AT1G01590	-0.638061046731863	0.729220922433829	FRO1	ferric reduction oxidase 1
AT1G01600	-0.137595196458078	0.861777690721278	CYP86A4	cytochrome P450%2C family 86%2C subfamily A%2C polypeptide 4
AT1G01610	-0.316939244360881	0.398565354445255	GPAT4	glycerol-3-phosphate acyltransferase 4
AT1G01620	0.389029138191124	0.115941958773079	PIP1C	plasma membrane intrinsic protein 1C
AT1G01630	0.192817917904284	0.684825787824097		Sec14p-like phosphatidylinositol transfer family protein
AT1G01640	0.931266544764993	0.000830194387983288		BTB/POZ domain-containing protein
AT1G01650	-0.446816244182963	0.00511472313720782	SPPL4	SIGNAL PEPTIDE PEPTIDASE-LIKE 4
AT1G01660	0.898946404227201	0.0978476452566484		RING/U-box superfamily protein
AT1G01670	0.929148015472213	0.0174197371902484		RING/U-box superfamily protein
AT1G01680	0.0165318669296264	1.0	PUB54	plant U-box 54
AT1G01690	0.583000486079002	0.131597510412521	PRD3	putative recombination initiation defects 3
AT1G01695	-0.505017214145705	0.805376380552558	TRM33	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein
AT1G01700	-0.488355464751068	0.403319470161268	ROPGEF2	RHO guanyl-nucleotide exchange factor 2
AT1G01710	0.0439138629192698	0.84226593386379		acyl-CoA thioesterase II
AT1G01715	-0.355990261953015	0.46184028576586		hypothetical protein
AT1G01720	-0.559778688154345	0.000394352766105867	ATAF1	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G01725	-0.388182731917839	0.409918447502914		adenylosuccinate synthetase
AT1G01730	0.157683480316286	0.49673709972274		hypothetical protein
AT1G01740	-0.575945220597207	0.0132806040752344	BSK4	kinase with tetratricopeptide repeat domain-containing protein
AT1G01750	0.244635444829251	0.963265945323509	ADF11	actin depolymerizing factor 11
AT1G01760	0.300121845979008	0.305256046461567		denosine deaminases acting on tRNA
AT1G01770	0.235712760297912	0.284207065685242		propionyl-CoA carboxylase
AT1G01780	0.627072298698035	0.00378297090055188	PLIM2b	GATA type zinc finger transcription factor family protein
AT1G01790	-0.272557681466736	0.0416035914857817	KEA1	K+ efflux antiporter 1
AT1G01800	-0.256686272845205	0.236075027240562		NAD(P)-binding Rossmann-fold superfamily protein
AT1G01810	0.722520235847205	0.368114422662484		hypothetical protein
AT1G01820	0.0904122758182557	0.49966881203482	PEX11C	peroxin 11c
AT1G01830	0.132310567122399	0.631958301243593		ARM repeat superfamily protein
AT1G01840	1.15967102142482	0.945968559372439		AP2-like ethylene-responsive transcription factor SNZ
AT1G01860	-0.0296890188066176	0.981347494306359	PFC1	Ribosomal RNA adenine dimethylase family protein
AT1G01870				
AT1G01880	-0.358686993559635	0.570852698432415		5'-3' exonuclease family protein
AT1G01890				
AT1G01900	-0.194439206835901	0.912532456983083	SBTI1.1	subtilase family protein
AT1G01910	-0.030458299862125	0.916909065647874		P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G01920	0.188726513721279	0.340034193518976		SET domain-containing protein
AT1G01930	0.206742828745242	0.221779488724032		zinc finger protein-like protein
AT1G01940	0.576402892658554	0.0241115947063772		Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
AT1G01950	-0.387260220422192	0.00328068599900668	ARK2	armadillo repeat kinesin 2
AT1G01960	-0.342645920518445	0.00325868167598325	EDA10	SEC7-like guanine nucleotide exchange family protein
AT1G01970	-0.22482925943925	0.298462950508576		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01980	1.15966896820227	0.924045136430598		FAD-binding Berberine family protein
AT1G01990	0.300862098708108	0.178555127157432		hypothetical protein
AT1G02000	0.286610954244149	0.372864805027283	GAE2	UDP-D-glucuronate 4-epimerase 2
AT1G02010	0.186845481210447	0.480964604718366	SEC1A	secretory 1A
AT1G02020	-0.117034075449548	0.771052703237556		nitroreductase family protein
AT1G02030	0.49132923716725	0.808532419656722		C2H2-like zinc finger protein
AT1G02040	-1.64904986859282	0.732266753301747		C2H2-type zinc finger family protein
AT1G02050	0.136326103104924	0.738087985404591	LAP6	Chalcone and stilbene synthase family protein
AT1G02060	-0.249465444029162	0.496279814081349		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02065	0.39390788622065	0.664579089312283	SPL8	squamosa promoter binding protein-like 8
AT1G02067				hypothetical protein
AT1G02070	0.695305482901681	0.480637936633456		zinc ion-binding protein
AT1G02080	-0.437092528318922	0.000170608216007316		transcription regulator
AT1G02090	0.337538760971586	0.103178762838902	FUS5	Proteasome component (PCI) domain protein
AT1G02100	0.230129381964354	0.110145052385381	SBI1	Leucine carboxyl methyltransferase
AT1G02110	-0.238499240012402	0.354535775172169		bZIP domain class transcription factor (DUF630 and DUF632)
AT1G02120	0.319460186814163	0.108471034709557	VAD1	GRAM domain family protein
AT1G02130	-0.186675412808456	0.204409860777209	RA-5	RAS 5
AT1G02140	0.271261806256162	0.129833401775563	MAGO	mago nashi family protein
AT1G02145	-0.495685194568134	0.0282385064586849	ALG12	homolog of asparagine-linked glycosylation 12
AT1G02150	-0.242460093324583	0.332394068693316		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02160	0.184204210173273	0.52338169137661		Cox19 family protein (CHCH motif)
AT1G02170	-0.00505304226632274	1.0	MC1	metacaspase 1
AT1G02180	-0.412527850423295	0.411331202488292		ferredoxin-like protein
AT1G02190	0.208747580529538	0.95162806512861		Fatty acid hydroxylase superfamily
AT1G02205	-1.06397248537854	0.411078077638533	CER1	Fatty acid hydroxylase superfamily
AT1G02210				NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G02220	0.367626484387964	0.287248945297532	NAC003	NAC domain containing protein 3
AT1G02230	0.00900715882733395	1.0	NAC004	NAC domain containing protein 4
AT1G02250	-1.18004430450847	0.553195352257403	NAC005	NAC domain containing protein 5
AT1G02260	-0.285385785915154	0.169188307766873		Divalent ion symporter
AT1G02270	-0.68746055644877	3.74699306567758e-09		Calcium-binding endonuclease/exonuclease/phosphatase family
AT1G02280	-0.120888436574316	0.74448744666485	TOC33	translocon at the outer envelope membrane of chloroplasts 33
AT1G02290	-0.260279093558477	0.41307712328861		hypothetical protein
AT1G02300	0.277872178046652	0.172313330735384		Cysteine proteinases superfamily protein
AT1G02305	0.13623344575298	0.489200326546103		Cysteine proteinases superfamily protein
AT1G02310	0.0244304092235921	1.0	MAN1	Glycosyl hydrolase superfamily protein
AT1G02320				hypothetical protein
AT1G02330	0.461075865296298	0.0369243910316927		integrator complex subunit-like protein
AT1G02335	0.53460279690946	0.174954926504448	GL22	germin-like protein subfamily 2 member 2 precursor
AT1G02340	0.50105843772254	0.155234061276642	HFR1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G02350	-0.617550906597986	0.00957462917885528		protoporphyrinogen oxidase-like protein
AT1G02360	0.568933125238645	0.15666128162368		Chitinase family protein
AT1G02370	0.160796311912777	0.692334943283472		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02380	-0.333460377398707	0.469562749302999		transmembrane protein
AT1G02390	-1.92350212581164	0.00246246822431464	GPAT2	glycerol-3-phosphate acyltransferase 2
AT1G02400	-1.76291291284384	3.60601270581318e-11	GA2OX6	gibberellin 2-oxidase 6
AT1G02405	-0.369865685766109	0.739952862755073		proline-rich family protein
AT1G02410	-0.144862311385761	0.591230778562867		cytochrome c oxidase assembly protein CtaG / Cox11 family
AT1G02420	-0.013803900981598	1.0		Pentatricopeptide repeat (PPR) superfamily protein
AT1G02430	-0.108423884257312	0.979577013991161	ARFD1B	ADP-ribosylation factor D1B
AT1G02440	-0.3655984780193	0.651753759980132	ARFD1A	ADP-ribosylation factor D1A
AT1G02450	1.85211470666688	0.11944414857701	NIMIN1	NIM1-interacting 1
AT1G02460	2.00381517425058	0.0247835187202942		Pectin lyase-like superfamily protein
AT1G02470	-1.16909231370758	0.00332228340794116		Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G02475	-0.720146153880069	0.00231015350137804		Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G02480				
AT1G02490	-0.411237775753522	0.927233442715552		hypothetical protein
AT1G02500	0.11033148826209	0.782562612662929	SAM1	S-adenosylmethionine synthetase 1
AT1G02510	-1.71230504900926	0.902002054166565	TPK4	Outward rectifying potassium channel protein
AT1G02520	0.970112509133621	0.00128572611123858	ABCB11	P-glycoprotein 11
AT1G02530	-1.04975876213104	0.554894830044668	ABCB12	P-glycoprotein 12
AT1G02540				hypothetical protein
AT1G02550				Plant invertase/pectin methylesterase inhibitor superfamily protein
AT1G02560	-0.210113208731155	0.181314923342321	CLPP5	nuclear encoded CLP protease 5
AT1G02570	0.852313387977574	0.481101712141852		transmembrane protein
AT1G02575	0.688133414274948	0.584213551911334		transmembrane protein
AT1G02580	-0.3019493268341	0.902002054166565	MEA	SET domain-containing protein
AT1G02590	-1.71229570756607	0.902002054166565		Aldehyde oxidase/xanthine dehydrogenase%2C molybdopterin binding protein
AT1G02600				
AT1G02610	0.0929611298056248	0.880482785125237		RING/FYVE/PHD zinc finger superfamily protein
AT1G02620	0.28414341681906	0.238775267967155		Ras-related small GTP-binding family protein
AT1G02630	1.76651468408095	0.426101096226147		Nucleoside transporter family protein
AT1G02640	0.303703401884066	0.0527830861072982	BXL2	beta-xylosidase 2
AT1G02650	0.586099358066806	0.0706053908930615		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02660	-1.30975373025101	2.79819636111274e-17		alpha/beta-Hydrolases superfamily protein
AT1G02670	-0.116963635680396	0.855923098116685		P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G02680	0.276411480320191	0.21797754427023	TAF13	TBP-associated factor 13
AT1G02690	0.521190219892774	0.0555724363039609	IMPA-6	importin alpha isoform 6
AT1G02700	0.61546865410687	0.731354546678143		GATA transcription factor-like protein
AT1G02705	0.0	1.0		hypothetical protein
AT1G02710				glycine-rich protein
AT1G02720	0.0405554538080635	0.963265945323509	GATL5	galacturonosyltransferase 5
AT1G02730	0.50375648256797	0.308477495329114	CSLD5	cellulose synthase-like D5
AT1G02740	-0.130704238742831	0.51113880239229		MRG family protein
AT1G02750	-0.501861878299235	0.0464153538215525		Drought-responsive family protein
AT1G02760				
AT1G02770	0.105758651632103	0.945968559372439		hypothetical protein
AT1G02780	0.24753622992906	0.124636752691451	emb2386	Ribosomal protein L19e family protein
AT1G02790			PGA4	polygalacturonase 4
AT1G02800	0.508550089960185	0.769479575879715	CEL2	cellulase 2
AT1G02810	0.535212853830703	0.12820859107953		Plant invertase/pectin methylesterase inhibitor superfamily
AT1G02813	1.15966131003799	0.945968559372439		pectinesterase (Protein of unknown function%2C DUF538)
AT1G02816	-0.10081588029983	0.667204561059906		pectinesterase (Protein of unknown function%2C DUF538)
AT1G02820	0.187562634854777	0.769757826839278	LEA3	Late embryogenesis abundant 3 (LEA3) family protein
AT1G02830	1.15964224964518	0.945968559372439		Ribosomal L22e protein family
AT1G02840	0.282301867132575	0.0404612548854904	SR34	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G02850	0.268284983217818	0.526481727170087	BGLU11	beta glucosidase 11
AT1G02860	0.0588301307863367	0.901607282050538	NLA	SPX (SYG1/Pho81/XPR1) domain-containing protein
AT1G02870	0.615421748829467	0.000789964710667687		nucleolar-like protein
AT1G02880	0.024559715755707	0.980254072576045	TPK1	thiamin pyrophosphokinase1
AT1G02890	0.00805628702901859	1.0		AAA-type ATPase family protein
AT1G02900	0.850558490561325	0.0952266249708252	RALF1	rapid alkalinization factor 1
AT1G02910	0.0637206841440475	0.837237134422776	LPA1	tetratricopeptide repeat (TPR)-containing protein
AT1G02920	-0.344191323003435	0.176701421413589	GSTF7	glutathione S-transferase 7
AT1G02930	-0.655275624355222	0.0202369672827291	GSTF6	glutathione S-transferase 6
AT1G02940	1.00501547303182	0.530869979102817	GSTF5	glutathione S-transferase (class phi) 5
AT1G02950	-2.19942339361194	0.847051801453997	GSTF4	glutathione S-transferase F4
AT1G02952				Natural antisense transcript overlaps with AT1G02950
AT1G02960	0.0231279906850568	0.945968559372439		kinetochore protein
AT1G02965				hypothetical protein
AT1G02970	0.00858248946227053	1.0	WEE1	WEE1-like kinase
AT1G02980	1.95893585479664	0.263268267227015	CUL2	cullin 2
AT1G02990	-0.348351525278028	0.06129951431745		hypothetical protein
AT1G03000	-0.0858997000050595	0.682292420142641	PEX6	peroxin 6
AT1G03010	0.142970295447111	0.912057449187888		Phototropic-responsive NPH3 family protein
AT1G03020	0.125303076048562	1.0		Thioredoxin superfamily protein
AT1G03030	-0.333452628611516	0.0674663338807546		P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G03040	-0.0448212829812135	0.906581958905722		basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G03050	1.71415124880936	0.14573754424586		ENTH/ANTH/VHS superfamily protein
AT1G03055	-1.05090547447234	0.149424399113664	D27	beta-carotene isomerase D27-like protein
AT1G03060	-0.372173027942816	0.00784908972602365	SPI	BEACH-DOMAIN HOMOLOG A1
AT1G03070	1.17343546931452	0.305628469057192		Bax inhibitor-1 family protein
AT1G03080	0.17200000372469	0.229346393654838	NET1D	kinase interacting (KIP1-like) family protein
AT1G03090	0.481684435479932	0.00188653849212108	MCCA	methylcrotonyl-CoA carboxylase alpha chain
AT1G03100	-1.13652906929704	0.000595729004544962		Pentatricopeptide repeat (PPR) superfamily protein
AT1G03103	-2.85484712961652	0.0183982779048697		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G03106	-0.142106924176559	0.988597214586243		hypothetical protein
AT1G03110	-0.161243600892347	0.509490629810734	TRM82	Transducin/WD40 repeat-like superfamily protein
AT1G03120	0.462504054618674	0.581275141632623	RAB28	responsive to abscisic acid 28
AT1G03130	0.0856864319218175	0.908041741019416	PSAD-2	photosystem I subunit D-2
AT1G03140	0.257522273495839	0.0197667235056828		splicing factor Prp18 family protein
AT1G03150	-0.305479159758876	0.162712624032092		Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G03160	-0.358578227760769	0.0704475352823991	FZL	FZO-like protein
AT1G03165	-1.45713861806955	0.360056263107405		hypothetical protein
AT1G03170	-1.3895016578172	0.0321434558913018	FAF2	FANTASTIC four-like protein (DUF3049)
AT1G03180	0.0723025016054026	0.951397522603223		non-structural protein
AT1G03190	0.0418614195084129	0.925388811214121	UVH6	RAD3-like DNA-binding helicase protein
AT1G03200	-0.714212364979791	0.664382611463251		hypothetical protein
AT1G03210	0.0582759954587024	0.793419664653963		Phenazine biosynthesis PhzC/PhzF protein
AT1G03220	-0.143048667977212	0.737797195815553		Eukaryotic aspartyl protease family protein
AT1G03230	-0.219504487024786	0.340884267986675		Eukaryotic aspartyl protease family protein
AT1G03240	1.09285444742887	0.904987272470231		hypothetical protein
AT1G03250	0.0098668278701164	1.0		R3H domain protein
AT1G03260	-0.101642970153474	0.743798223626291		SNARE associated Golgi protein family
AT1G03270	-0.130469963258996	0.783868079176272		CBS domain protein with a domain protein (DUF21)
AT1G03280	0.296711337481148	0.079990501523033		Transcription factor TFIIE%2C alpha subunit
AT1G03290	-0.0545785247008499	0.885180099965869		ELKS/Rab6-interacting/CAST family protein
AT1G03300			ATDUF1	agenet domain protein (DOMAIN OF UNKNOWN FUNCTION 724 1)
AT1G03310	-0.379925307849204	0.028557392078389	DBE1	debranching enzyme 1
AT1G03320	0.463435412139707	0.866269666537402		hypothetical protein
AT1G03325				hypothetical protein
AT1G03330	-0.0053022140971308	1.0	LSM2	Small nuclear ribonucleoprotein family protein
AT1G03340	-0.161001673857525	0.8127646582177		hypothetical protein
AT1G03350	0.236786977732633	0.212437600629411		BSD domain-containing protein
AT1G03360	-0.0259611787451179	0.963265945323509	RRP4	ribosomal RNA processing 4
AT1G03365	0.185168452621704	0.26154901666391		RING/U-box superfamily protein
AT1G03370	-0.33338574782517	0.0593089524104609		C2 calcium/lipid-binding and GRAM domain containing protein
AT1G03380	0.130796781587142	0.350080430942246	ATG18G	yeast autophagy 18 G-like protein
AT1G03390	0.247998400997995	0.990101558665338		HXXXD-type acyl-transferase family protein
AT1G03395				hypothetical protein
AT1G03400	0.272035298755925	0.30001481707543		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G03410	-0.317773184950117	0.250727844960072	2A6	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G03430	-0.147832993957134	0.784176734580269	AHP5	histidine-containing phosphotransfer factor 5
AT1G03440	0.254551320519043	0.187685189870735		Leucine-rich repeat (LRR) family protein
AT1G03445	-0.675253947536589	0.616066197302415	BSU1	Serine/threonine protein phosphatase family protein
AT1G03457	0.266354127847774	0.28578258676236		RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G03470	0.253544787887713	0.126619729156595	NET3A	Kinase interacting (KIP1-like) family protein
AT1G03475	-0.140908249145316	0.408686247920246	LIN2	Coproporphyrinogen III oxidase
AT1G03490	-1.60205279664639	0.908041741019416	NAC006	NAC domain containing protein 6
AT1G03495	0.0652194348995891	0.920910557201864		HXXXD-type acyl-transferase family protein
AT1G03502	-2.55441859520203	0.770775858167454		snoRNA
AT1G03506	-1.0386103323352	0.574417633928959		snoRNA
AT1G03510	-0.45423507591035	0.278818669110442		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G03515				
AT1G03520	-0.28742039550159	0.333769086457802		Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein
AT1G03530	0.445525604726173	0.0445430786115292	NAF1	nuclear assembly factor 1
AT1G03540	-0.516956033488188	0.278818669110442		Pentatricopeptide repeat (PPR-like) superfamily protein
AT1G03545	-2.05470111592887	0.236434379515587		Natural antisense transcript overlaps with AT1G03550
AT1G03550	-0.412094368470934	0.407622641631119	SCAMP4	Secretory carrier membrane protein (SCAMP) family protein
AT1G03560	0.42184176719995	0.00218666006943328		Pentatricopeptide repeat (PPR-like) superfamily protein
AT1G03570				
AT1G03590	0.114160608552328	0.526628296968399		Protein phosphatase 2C family protein
AT1G03600	-0.0244830500737218	0.963265945323509	PSB27	photosystem II family protein
AT1G03610	-0.504538476085604	0.00181432857822451		plant/protein (DUF789)
AT1G03620	0.463326348808794	0.21749317222109		ELMO/CED-12 family protein
AT1G03630	-0.319086473701882	0.334690290729965	POR C	protochlorophyllide oxidoreductase C
AT1G03640				
AT1G03650	0.408885862984123	0.0662068922065845		Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G03660	-0.759295725465555	0.41950502286127		Ankyrin-repeat containing protein
AT1G03670	-0.430725988283894	0.951697292538633		ankyrin repeat family protein
AT1G03680	-0.203279878619124	0.203274368926701	THM1	thioredoxin M-type 1
AT1G03687	0.0409403934704482	0.942697315192963		DTW domain-containing protein
AT1G03700	0.229566028864305	0.895763819068362		Uncharacterized protein family (UPF0497)
AT1G03710	0.499310544846531	0.716848902543807		Cystatin/monellin superfamily protein
AT1G03720				Cysteine proteinases superfamily protein
AT1G03730	-0.291594427894194	0.0518838350469775		pyrroline-5-carboxylate reductase
AT1G03740	-0.39338510250601	0.0131420605638761		Protein kinase superfamily protein
AT1G03743				snoRNA
AT1G03746				snoRNA
AT1G03750	0.10468842916623	0.656734837350034	SWI2	switch 2
AT1G03760	0.746093314045866	0.000474558760879591		Prefoldin chaperone subunit family protein
AT1G03770	0.586695895775868	0.000408829355093835	RING1B	RING 1B
AT1G03780	0.832364590591625	0.0211232427684246	TPX2	targeting protein for XKLP2
AT1G03790	0.555495812316212	0.862528578392118	SOM	Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G03800	0.491305277644056	0.161579260458428	ERF10	ERF domain protein 10
AT1G03810	-0.763885747128605	0.963265945323509		Nucleic acid-binding%2C OB-fold-like protein
AT1G03820	1.30461969699164	0.000389768563873497		E6-like protein
AT1G03830	0.232600770814588	0.296165312131233		guanylate-binding family protein
AT1G03840	1.39233166483836	0.000353501464169342	MGP	C2H2 and C2HC zinc fingers superfamily protein
AT1G03850	1.23605408116649	0.00052470503334588	GRXS13	Glutaredoxin family protein
AT1G03860	-0.0889431826246737	0.710195595819155	PHB2	prohibitin 2
AT1G03870	0.259422390754115	0.823255909725948	FLA9	FASCICLIN-like arabinoogalactan 9
AT1G03880	0.0	1.0	CRU2	cruciferin 2
AT1G03890	-0.763885747128605	0.963265945323509		RmlC-like cupins superfamily protein
AT1G03900	0.43937873078721	0.0251312867728346	ABCI18	non-intrinsic ABC protein 4
AT1G03905	0.22343973297297	0.606834711983195	ABCI19	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G03910	0.318134049439109	0.0401564871363366		cactus-binding carboxy-terminal%2C cactin
AT1G03920	0.841689821444022	0.137613882191155		Protein kinase family protein
AT1G03930	-0.0414102622646352	0.914033650566831	ADK1	dual specificity kinase 1
AT1G03935	-1.48726563463372	0.117270471581204		snoRNA
AT1G03940	-0.117013649816335	0.808802428021314		HXXXD-type acyl-transferase family protein
AT1G03950	0.0684094598966984	0.761217311975185	VPS2.3	vacuolar protein sorting-associated protein 2.3
AT1G03960	-0.222339127000857	0.229346393654838		Calcium-binding EF hand family protein
AT1G03970	0.390768112500716	0.12349339548007	GBF4	G-box binding factor 4
AT1G03980	-0.487125486899035	0.565474115037886	PCS2	phytochelatin synthase 2
AT1G03982	-1.60206213808963	0.908041741019416		PAK-box/P21-Rho-binding family protein
AT1G03987	0.433285731685648	0.907033545246823		
AT1G03990	-0.795807620566665	0.000268259856234435		Long-chain fatty alcohol dehydrogenase family protein
AT1G03993				Natural antisense transcript overlaps with AT1G01040
AT1G03997				Natural antisense transcript overlaps with AT1G01050
AT1G04000	0.118655308041959	0.784446240862391		hypothetical protein
AT1G04003	-0.763885747128605	0.963265945323509		
AT1G04007				Natural antisense transcript overlaps with AT1G01160
AT1G04010	0.223773926924548	0.363635706848157	PSAT1	phospholipid sterol acyl transferase 1
AT1G04013				Natural antisense transcript overlaps with AT1G01170
AT1G04017				
AT1G04020	-0.39281206371567	0.130973556207992	BARD1	breast cancer associated RING 1
AT1G04023				
AT1G04027				
